name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
WOW Skin Science Vitamin C Serum for Skin whitenening - Brightening and Hyperpigmentation. Genuine 20% - 30ml,beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71-RGUlIkoL._AC_UL320_.jpg,https://www.amazon.in/WOW-Skin-Science-Vitamin-Serum/dp/B085T9LGFV/ref=sr_1_385?qid=1679214946&s=beauty&sr=1-385,3.9,"16,175",₹412,₹699
"Dot & key Lip Plumping Mask Vitamin C + E (Lingenberry), 15ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51kfbv8mGiL._AC_UL320_.jpg,https://www.amazon.in/Dot-Key-PLUMPING-SLEEPING-Vitamin/dp/B08RX6S5D1/ref=sr_1_386?qid=1679214946&s=beauty&sr=1-386,3.9,"2,251",₹185,₹295
"Park Avenue Signature Collection Premium Body Spray for Men, 2 Voyage & 1 Neo FREE, Fresh Long Lasting Fragrance (Pack of ...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/81thnD6HwDL._AC_UL320_.jpg,https://www.amazon.in/Park-Avenue-Super-Saver-Voyage/dp/B00ZC4U2NY/ref=sr_1_387?qid=1679214946&s=beauty&sr=1-387,4.2,"10,299",₹422.40,₹480
"Sanfe Spotlite Sensitive Body Serum For Dark Underarms, Inner Thighs and Sensitive Areas | 10X Powerful, Enriched with Koj...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61-1+OUySDL._AC_UL320_.jpg,https://www.amazon.in/Sanfe-Sensitive-Niacinnamide-Tightening-Depigmentation/dp/B0B529BQ55/ref=sr_1_388?qid=1679214946&s=beauty&sr=1-388,4.0,421,₹378,₹399
"Temperia Leg, Heel & Foot Scrubber for Dead Skin - Very Sharp & Big (11*3 inch) - Pedicure & Feet Scrub Tools, Foot Scrape...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71SSLoMZuZL._AC_UL320_.jpg,https://www.amazon.in/Temperia-Metal-Scrubber-Callus-Remover/dp/B09H6TW8MZ/ref=sr_1_389?qid=1679214946&s=beauty&sr=1-389,4.1,"1,806",₹274,₹599
"EXO Cyclozan - Round, 500g Box with free scrubber",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61BLaDOomiL._AC_UL320_.jpg,https://www.amazon.in/Exo-Round-Dish-Shine-500/dp/B00O81RB0Y/ref=sr_1_390?qid=1679214946&s=beauty&sr=1-390,4.4,"7,099",,₹60
Himalaya Extra Moisturizing Baby Soap (75g),beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/714jKt8fJJL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Extra-Moisturizing-Baby-Soap/dp/B01NCUMUET/ref=sr_1_391?qid=1679214946&s=beauty&sr=1-391,4.3,"12,197",₹153,₹165
"Glow & Lovely Advanced Multivitamin Face Cream 110 g, Daily Skin Brightening Face Moisturizer for Glowing Skin, SPF 15 Wit...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51wMHyvh12L._AC_UL320_.jpg,https://www.amazon.in/Glow-Lovely-Advanced-Multivitamin-Cream/dp/B08H2Y91P1/ref=sr_1_392?qid=1679214946&s=beauty&sr=1-392,4.3,"5,383",₹221,₹246
"Neutrogena Oil Free Acne Wash For Acne Prone Skin With Salicylic Acid, 175ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/515l3roH2LL._AC_UL320_.jpg,https://www.amazon.in/Neutrogena-Free-Acne-Face-175ml/dp/B006LXDMCS/ref=sr_1_393?qid=1679214946&s=beauty&sr=1-393,4.2,"8,266",₹573,₹675
Mamaearth Onion Shampoo for Anti Hair Fall & Hair Growth with Onion Oil & Plant Keratin 400ml,beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51E1z9JY0vL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Shampoo-Growth-Control-Keratin/dp/B0828PRFKP/ref=sr_1_394?qid=1679214946&s=beauty&sr=1-394,4.1,"6,342",₹448,₹499
Presto! 2 Ply Facial Tissue Box - 200 Pulls (Pack of 3),beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/81A-tzE21qL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Presto-Facial-Tissue/dp/B0792T43TC/ref=sr_1_395?qid=1679214946&s=beauty&sr=1-395,4.4,"3,665",₹309,₹385
"Dot & Key CICA Face Wash for Acne Prone Skin, 2% Salicylic Acid Face Wash with Green Tea | For Oily & Sensitive Skin | Sul...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51UJk3+dcSL._AC_UL320_.jpg,https://www.amazon.in/Salicylic-Sensitive-Sulphate-Blemish-Clearing/dp/B0BCJZ289Q/ref=sr_1_396?qid=1679214946&s=beauty&sr=1-396,4.2,642,₹220,₹295
"Biotique Fresh Neem Pimple Control Face Wash Prevents Pimples For All Skin Types , 200ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71BC9KCLLIL._AC_UL320_.jpg,https://www.amazon.in/Biotique-Neem-Purifying-Wash-Transparent/dp/B07PRVXDGV/ref=sr_1_397?qid=1679214946&s=beauty&sr=1-397,4.2,"16,301",₹159.17,₹240
"Biotique Saffron Youth Anti-Ageing Cream Reduces fine lines Lightens dark Spots, 50g",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51+Msje8ofL._AC_UL320_.jpg,https://www.amazon.in/Biotique-Saffron-Youthful-Nourishing-Cream/dp/B005MDSJRQ/ref=sr_1_398?qid=1679214946&s=beauty&sr=1-398,4.2,"9,183",₹250,₹320
"Nivea Men Creme, Dark Spot Reduction, Non Greasy Moisturizer, Cream With Uv Protect, 150 ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51NYSJRXJ6L._AC_UL320_.jpg,https://www.amazon.in/Nivea-Dark-Reduction-Cream-150ml/dp/B017U2B6OY/ref=sr_1_399?qid=1679214946&s=beauty&sr=1-399,4.1,"11,577",₹319,₹399
Khadi Natural Amla & Bhringraj Shampoo/Cleanser for Controlling Dandruff & Hair fall | Shampoo for Reducing Scalp Irritati...,beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71JpIndnuxL._AC_UL320_.jpg,https://www.amazon.in/Khadi-Natural-Bhringraj-Shampoo-Cleanser/dp/B01N3YESMI/ref=sr_1_400?qid=1679214946&s=beauty&sr=1-400,4.1,"11,379",₹179,₹250
"Lakme Absolute Blur Perfect Matte Face Primer, Peach, Makeup Primer for Poreless Smooth Long Lasting Makeup - Waterproof B...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/41w2SZqhNzL._AC_UL320_.jpg,https://www.amazon.in/Lakme-Absolute-Perfect-Makeup-Primer/dp/B08B8QSY7Q/ref=sr_1_401?qid=1679214946&s=beauty&sr=1-401,4.1,"7,526",₹270,₹299
"Parachute Hair Cream for Men, 100ml (Pack of 3)|Hair Cream After Shower |Non Sticky Oil Replacement Hair Cream |Goodness o...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71LFp0q3PdL._AC_UL320_.jpg,https://www.amazon.in/Parachute-Advansed-Hair-Cream-Classic/dp/B077HT24D7/ref=sr_1_402?qid=1679214946&s=beauty&sr=1-402,4.3,"5,889",₹180,₹270
"Indulekha Bringha Ayurvedic Shampoo 340 ml, for Hair Fall Control, With Bringharaj Extracts, Amla, Shikakai - Paraben Fre...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51ODfZLXmVS._AC_UL320_.jpg,https://www.amazon.in/Indulekha-Bringha-Cleanser-Shampoo-340ml/dp/B07MZJ62FL/ref=sr_1_403?qid=1679214946&s=beauty&sr=1-403,4.2,"25,214",₹358.56,₹405
"Pond'S Pure Detox Face Wash 200 G, Daily Exfoliating & Brightening Cleanser, Deep Cleans Oily Skin - With Activated Charco...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51ePWbQhKoL._AC_UL320_.jpg,https://www.amazon.in/PONDS-White-Pollution-Activated-Charcoal/dp/B08PQ6VWPT/ref=sr_1_404_mod_primary_new?qid=1679214946&s=beauty&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-404,4.4,"5,649",₹230,₹425
"Mamaearth Long Stay Kajal Black Retractable Waterproof, with Vitamin C & Chamomile, Charcoal Black, Matte Finish",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/41I3TEx8UeL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Retractable-Waterproof-Chamomile-Smudge-free/dp/B09GBC38RZ/ref=sr_1_405?qid=1679214946&s=beauty&sr=1-405,4.0,"3,105",₹262,₹299
"Parachute Advansed Soft Touch Body Lotion for Women & Men, All Skin types, 400ml | Pure Coconut Milk & Honey, 100% Natura...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51df5EZ6azL._AC_UL320_.jpg,https://www.amazon.in/Parachute-Advansed-Body-Lotion-Touch/dp/B00CBRJ1SM/ref=sr_1_406?qid=1679214946&s=beauty&sr=1-406,4.1,"16,265",₹150.75,₹280
Gillette Venus Comfortglide Hair Removal Razor Blades/Refills/Cartridges | 2 Pcs | for Women | (Avocado Oils & Freesia sce...,beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/81fwHnq9amL._AC_UL320_.jpg,https://www.amazon.in/Gillette-Venus-Breeze-Razor-Blades/dp/B06XW6CKJQ/ref=sr_1_407?qid=1679214946&s=beauty&sr=1-407,4.4,"6,453",₹382,₹449
"Himalaya Gentle Baby Soap Value Pack, 4 * 75g",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71FtY6UcxHL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Gentle-Baby-Soap-Value/dp/B00ZTSOJSM/ref=sr_1_408?qid=1679214946&s=beauty&sr=1-408,4.4,"34,188",₹132,₹200
"L'Oréal Professionnel Absolut Repair Shampoo & Mask For Dry And Damaged Hair, 300ML |Hair Care Combo for Hair Strengthenin...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61X7F0KjoIL._AC_UL320_.jpg,https://www.amazon.in/LOr%C3%A9al-Professionnel-Absolut-Shampoo-Protein/dp/B08SMWPSF8/ref=sr_1_409?qid=1679214946&s=beauty&sr=1-409,4.4,"2,852","₹1,399","₹1,555"
"Mamaearth Deeply nourishing natural baby wash (400 ml, 0-5 Yrs)",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71EhxrSl71L._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Deeply-Nourishing-Wash-Babies/dp/B077GZHQ4V/ref=sr_1_410?qid=1679214946&s=beauty&sr=1-410,4.5,"3,168",₹289,₹399
"L'Oréal Paris Anti-Aging and Whitening Cream, With SPF 21 PA+++, Day Cream, For Users Over 40, Skin Perfect 40+, 50g",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61zRI9LzXuL._AC_UL320_.jpg,https://www.amazon.in/LOreal-Paris-Perfect-Anti-Aging-Cream/dp/B00S4R0YQQ/ref=sr_1_411?qid=1679214946&s=beauty&sr=1-411,4.2,"4,979",₹499,₹649
"Garnier Skin Naturals, Cleansing Water, Hydrating & Soothing, Micellar Cleansing Water, 400ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51lBlgA89aL._AC_UL320_.jpg,https://www.amazon.in/Garnier-Naturals-Micellar-Cleansing-Water/dp/B071CDDG3H/ref=sr_1_412?qid=1679214946&s=beauty&sr=1-412,4.5,"3,809",₹299,₹349
The Face Shop Rice water Bright Cleansing foam 150ml with Rice Water for Brighten the Skin | Soap Wort for Deep Cleansing...,beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51DegCTy0HL._AC_UL320_.jpg,https://www.amazon.in/Faceshop-Water-Bright-Cleansingfoam-150ml/dp/B00FJ2LU2Q/ref=sr_1_413?qid=1679214946&s=beauty&sr=1-413,4.3,"13,712",₹760,₹849
"Dabur Badam Tail : Sweet Almond Oil | Rich in Vitamin -E for Healthy Skin , Hair and Body - 100ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/711R+Q-zLmS._AC_UL320_.jpg,https://www.amazon.in/Dabur-Badam-Tail-100-Almond/dp/B009SOS7ZE/ref=sr_1_414_mod_primary_new?qid=1679214946&s=beauty&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-414,4.3,"19,856",₹300,₹350
Dot & Key Strawberry Lip Balm for Soft and Naturally Pink Lips | SPF 30 & Vitamin C+E | Fades Lip Pigmentation | For Dark ...,beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61gdPZFgA2L._AC_UL320_.jpg,https://www.amazon.in/Strawberry-Naturally-Vitamin-Fades-Pigmentation/dp/B0BBFSJN2T/ref=sr_1_415?qid=1679214946&s=beauty&sr=1-415,3.9,"1,291",₹194,₹249
"Pampers All round Protection Pants, Medium size baby diapers (MD) 152 Count, Anti Rash diapers, Lotion with Aloe Vera",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71JeMWOYpWL._AC_UL320_.jpg,https://www.amazon.in/Pampers-Monthly-Diapers-Pants-Medium/dp/B07DP4TT6R/ref=sr_1_416?qid=1679214946&s=beauty&sr=1-416,4.3,"8,079","₹1,725","₹2,399"
Santoor Sandal and Turmeric Soap (Pack of 4 soaps 125g each),beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71k+vczVn9L._AC_UL320_.jpg,https://www.amazon.in/Santoor-Sandal-Turmeric-Soap-125g/dp/B006L7Q3OS/ref=sr_1_417?qid=1679214946&s=beauty&sr=1-417,4.3,"9,031",₹188,₹222
"Santoor Aloe Fresh Soap, 125 g (Pack of 6)",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61XFUlPru6L._AC_UL320_.jpg,https://www.amazon.in/Santoor-Aloe-Fresh-Soap-125g/dp/B08K95SV28/ref=sr_1_418?qid=1679214946&s=beauty&sr=1-418,4.2,"1,826",₹199,₹225
"LAKMÉ Face It Compact, Pearl, 9 g",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51sIPBcQfJL._AC_UL320_.jpg,https://www.amazon.in/LAKM%C3%89-RCCQ100-Face-Compact-Pearl/dp/B09C3Q2YFX/ref=sr_1_419?qid=1679214946&s=beauty&sr=1-419,4.1,"2,441",₹162,₹180
"Nivea Deep Impact Freshness Deodorant For Men, 150ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71brTv795WL._AC_UL320_.jpg,https://www.amazon.in/Nivea-Impact-Freshness-Deodorant-Spray/dp/B07D1CRT6R/ref=sr_1_420?qid=1679214946&s=beauty&sr=1-420,3.7,"5,824",₹154,₹210
"L'Oréal Professionnel Xtenso Care Shampoo For Straightened Hair, 250 ML |L'Oréal Professionnel Xtenso Care mask, 196 gm | ...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71SkoNft4ML._AC_UL320_.jpg,https://www.amazon.in/LOr%C3%A9al-Professionnel-straightened-strengthens-Pro-Keratin/dp/B08RZVDQN9/ref=sr_1_421?qid=1679214946&s=beauty&sr=1-421,4.3,"2,447","₹1,197","₹1,330"
"Mamaearth Easy Tummy Roll On Oil for Colic & Gas Relief with Hing & Fennel Oil, 40ml (For external use)",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71KZrRvp2zL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Tummy-Digestion-Relief-Fennel/dp/B0794VVSFJ/ref=sr_1_422?qid=1679214946&s=beauty&sr=1-422,4.4,"8,461",₹186,₹249
COSRX Advanced Snail 96 Mucin Power Essence 100ml,beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61p-wtpDraL._AC_UL320_.jpg,https://www.amazon.in/COSRX-Advanced-Snail-Mucin-Essence/dp/B07N3SMBRM/ref=sr_1_423?qid=1679214946&s=beauty&sr=1-423,4.4,"1,087","₹1,250","₹1,450"
POND'S Triple Vitamin Moisturising Body Lotion 600 ml,beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/41z9LG4aZnL._AC_UL320_.jpg,https://www.amazon.in/PONDS-Vitamin-Moisturizing-Vitamins-Moisturisation/dp/B09FN1TRL1/ref=sr_1_424?qid=1679214946&s=beauty&sr=1-424,4.4,"3,251",₹356,₹549
Bold Care Topical Non-Transferable Spray for Men (Pack of 1),beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/71GPMAXIytL._AC_UL320_.jpg,https://www.amazon.in/Bold-Care-Topical-Spray-Non-transferable/dp/B097YQWRZT/ref=sr_1_425?qid=1679214946&s=beauty&sr=1-425,3.9,946,₹315,₹330
Park Avenue Original Deodorant Set For Men 150ml Each (Combo Of 3),beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/817tF0q5+ML._AC_UL320_.jpg,https://www.amazon.in/Park-Avenue-Classic-150ml-Morning/dp/B075MGGBL1/ref=sr_1_426?qid=1679214946&s=beauty&sr=1-426,4.1,"11,909",₹358.20,₹399
"Lux Body Wash Fragrant Skin Black Orchid Scent & Juniper Oil SuperSaver XL Pump Bottle with Long Lasting Fragrance, Glycer...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51234yrirRL._AC_UL320_.jpg,https://www.amazon.in/Lux-Fragrant-SuperSaver-Fragrance-Glycerine/dp/B09KHKB1YN/ref=sr_1_427?qid=1679214946&s=beauty&sr=1-427,4.4,991,₹285,₹380
"INOVERA (LABEL) Cosmetic Makeup Storage Holder Organizer Adjustable 360 Rotation Box, 23L x 23B x 30H cm. (Transparent)",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61oDtsju8tL._AC_UL320_.jpg,https://www.amazon.in/INOVERA-LABEL-Organizer-Adjustable-Transparent/dp/B07MY3XR74/ref=sr_1_428?qid=1679214946&s=beauty&sr=1-428,4.3,"3,739",₹699,"₹1,699"
"Maybelline New York Kajal, Super Black, Intense Colour, Sharp Definition, Long-lasting, Colossal Kajal, 0.35g",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51XM2LWhd7L._AC_UL320_.jpg,https://www.amazon.in/Maybelline-Colossal-Kajal-Super-Black/dp/B01B1KQ6N2/ref=sr_1_429?qid=1679214946&s=beauty&sr=1-429,4.3,"6,822",₹214,₹325
"Godrej Protekt Germ Fighter Handwash Refill, Neem & Aloe Vera - 1.5 Litre",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61PaTjy-dML._AC_UL320_.jpg,https://www.amazon.in/Godrej-Protekt-Fighter-Handwash-Refill/dp/B08DLJLQY6/ref=sr_1_430?qid=1679214946&s=beauty&sr=1-430,4.3,"4,339",₹149,₹199
"Clean & Clear Foaming Facewash for Oily Skin, Brown, 240ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/51cJ-IDx5PL._AC_UL320_.jpg,https://www.amazon.in/Clean-Clear-Foaming-Facewash-Brown/dp/B08QF21VD9/ref=sr_1_431?qid=1679214946&s=beauty&sr=1-431,4.4,"6,469",₹180,₹330
"TRESemme Smooth & Shine Conditioner , 335 ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/41oY3IfMsAL._AC_UL320_.jpg,https://www.amazon.in/TRESemme-Keratin-Smooth-Conditioner-340/dp/B083FFZPXH/ref=sr_1_432?qid=1679214946&s=beauty&sr=1-432,4.4,"4,564",₹264,₹380
"Cetaphil Brightening Night Comfort Cream - 50 g| For Dark Spots, Uneven Skin Tone| Hyaluronic Acid & Niacinamide| Fragranc...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61Uin5GihFL._AC_UL320_.jpg,https://www.amazon.in/Cetaphil-Brightening-Night-Comfort-Cream/dp/B08L95888H/ref=sr_1_865?qid=1679214950&s=beauty&sr=1-865,4.2,"1,739",₹929,"₹1,035"
"Amazon Brand - Solimo Germ-Protect Handwash Liquid, Refreshing Rose, 5L",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61jzPLKHiEL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Germ-Protect-Handwash-Refreshing/dp/B08CKYZ7X9/ref=sr_1_866?qid=1679214950&s=beauty&sr=1-866,4.2,"2,783",₹409,₹840
"Aroma Magic Aloe Vera Sun Screen Gel, 100ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61BoSrxJWeL._AC_UL320_.jpg,https://www.amazon.in/Aroma-Magic-Aloe-Screen-100ml/dp/B00E966SIY/ref=sr_1_867?qid=1679214950&s=beauty&sr=1-867,4.1,"5,444",₹260,₹325
Bare Anatomy EXPERT Anti-Dandruff Shampoo | Targets Oily Scalp and Sheds Dry Flakes | 250ml,beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61E3aNGmDDL._AC_UL320_.jpg,https://www.amazon.in/Bare-Anatomy-Anti-Dandruff-Shampoo-Targets/dp/B0BJZXKH12/ref=sr_1_868?qid=1679214950&s=beauty&sr=1-868,4.2,280,₹399,₹545
"Joy Honey & Almonds Advanced Nourishing Body Lotion, For Normal to Dry skin 500ml",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/I/61Gb5gedajL._AC_UL320_.jpg,https://www.amazon.in/Honey-Almonds-Nourishing-Lotion-500ml/dp/B00TI9CB1A/ref=sr_1_869?qid=1679214950&s=beauty&sr=1-869,4.2,"9,055",₹209,₹350
