name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"EasyHealth Professional Grade 22"" Wrist Supporter for Gym, Wrist Band for Gym Men and Women, Wrist Wrap/Straps Gym Accesso...",sports & fitness,Fitness Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81jwPup+8+L._AC_UL320_.jpg,https://www.amazon.in/EasyHealth-Wrist-Wraps-Professional-Support/dp/B07Q8JBSX2/ref=sr_1_313?qid=1679217661&s=sports&sr=1-313,4.3,"1,943",₹249,₹499
"ALN Sweat Slim Belt Free Size Fat Burning Sauna Hot Neoprene Material Shaper Waist Trimmer Weight Loss, Lower Back Posture...",sports & fitness,Fitness Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71W-l987ngL._AC_UL320_.jpg,https://www.amazon.in/ALN-Burning-Neoprene-Material-Multicolor/dp/B08LGB28PD/ref=sr_1_314?qid=1679217661&s=sports&sr=1-314,3.0,412,₹195,"₹1,899"
"Amazon Brand - Symactive Badminton Kit with 2 Racquets for Intermediate Players and Feather Shuttles, S333",sports & fitness,Fitness Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81xrhOHl+sS._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-absym_saxgh3_86-Fitness-Accessory/dp/B08PWCYBFG/ref=sr_1_315?qid=1679217661&s=sports&sr=1-315,3.7,34,₹619,"₹1,179"
ALN® 5 in 1 Ab Tummy Trimmer with Sweat Belt Combo Weight Loss Fitness Equipment for Women & Men Multipurpose Body Toner S...,sports & fitness,Fitness Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31lwgEhuSgL._AC_UL320_.jpg,https://www.amazon.in/Trimmer-Weight-Fitness-Equipment-Multipurpose/dp/B07XNVRBFG/ref=sr_1_316?qid=1679217661&s=sports&sr=1-316,3.5,961,₹329,"₹1,299"
8 Shaped Walking Exercise Mat,sports & fitness,Fitness Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41G4DlDVZHS._AC_UL320_.jpg,https://www.amazon.in/Shaped-Walking-Exercise-Mat-White/dp/B081H5M94Y/ref=sr_1_317?qid=1679217661&s=sports&sr=1-317,4.2,70,"₹1,510","₹1,897"
"ELKO Natural Latex Tube Tummy Trimmer for Men & Women, Waist Fat Buster, Abs Exercise & Body Toner Equipment for Home & Gy...",sports & fitness,Fitness Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61sTfzVP9YL._AC_UL320_.jpg,https://www.amazon.in/ELKO-Natural-Trimmer-Exercise-Equipment/dp/B09RPFRHBP/ref=sr_1_318?qid=1679217661&s=sports&sr=1-318,3.7,17,₹599,"₹1,299"
NAVEX Fitness Gym Ball (Multi-Color) (95CM),sports & fitness,Fitness Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61PNKXQefzL._AC_UL320_.jpg,https://www.amazon.in/NAVEX-Fitness-Ball-Multi-Color-95CM/dp/B08KY833H6/ref=sr_1_319?qid=1679217661&s=sports&sr=1-319,5.0,1,₹995,"₹1,325"
Rexez Double Spring Tummy Trimmer Pro Waist Trimmer Abs Exerciser Body Toner Fat Buster Home Gym Home Exercise Equipment A...,sports & fitness,Fitness Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41nNxPx16WL._AC_UL320_.jpg,https://www.amazon.in/Rexez-Exerciser-Exercise-Equipment-Abdominal/dp/B08DNXNKGW/ref=sr_1_320?qid=1679217661&s=sports&sr=1-320,3.1,7,₹255,₹999
Natural Yoga rope - Pocket Gym Rope - Abdominal Exercise Fitness Rope For Men And Women (yellow),sports & fitness,Fitness Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+Vh6rGZLL._AC_UL320_.jpg,https://www.amazon.in/Natural-Pocket-Abdominal-Exercise-yellow/dp/B08ZNFDXFF/ref=sr_1_321?qid=1679217661&s=sports&sr=1-321,3.8,85,₹399,₹500
"AURION Wrist Wraps 19"" Professional Grade with Thumb Loops - Wrist Support Braces for Men & Women - Weight Lifting, Xfit, ...",sports & fitness,Fitness Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71ow9t6JAcL._AC_UL320_.jpg,https://www.amazon.in/Aurion-GYMWRAP-RED-Cotton-Lifting-Powerlifting/dp/B07PDYDXQR/ref=sr_1_322?qid=1679217661&s=sports&sr=1-322,3.8,50,₹177.35,₹199
