name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Spotzero by Milton Prime Spin Mop with Big Wheels and Stainless Steel Wringer, Bucket Floor Cleaning and Mopping System,2 ...",home & kitchen,Home Improvement,https://m.media-amazon.com/images/I/71UpuxQrSlL._AC_UL320_.jpg,https://www.amazon.in/Spotzero-Milton-Stainless-Wringer-refills/dp/B07D4T4YT2/ref=sr_1_1?qid=1679214112&s=kitchen&sr=1-1,4.2,"74,689","₹1,299","₹2,599"
"Scotch-Brite 2-in-1 Bucket Spin Mop (Green, 2 Refills), 4 Pcs",home & kitchen,Home Improvement,https://m.media-amazon.com/images/I/613iaMC20FL._AC_UL320_.jpg,https://www.amazon.in/Scotch-Brite-Bucket-Spin-Green-Refills/dp/B07LDKFM2Y/ref=sr_1_2?qid=1679214112&s=kitchen&sr=1-2,4.2,"38,204","₹1,075","₹1,500"
"Scotch-Brite Rubber Heavy Duty Hand gloves for Dishwashing, gardening, kitchen cleaning ( Inner cotton lining for comfor...",home & kitchen,Home Improvement,https://m.media-amazon.com/images/I/61JDg6pGGJL._AC_UL320_.jpg,https://www.amazon.in/Scotch-Brite-Heavy-Duty-Gloves-Medium/dp/B00NBM0WD4/ref=sr_1_3?qid=1679214112&s=kitchen&sr=1-3,4.0,"28,292",₹155,₹170
"GM 3060 E-Book 4 + 1 Power Strip 240 Volts with Master Switch, Indicator, Safety Shutter & 4 International sockets, Red & ...",home & kitchen,Home Improvement,https://m.media-amazon.com/images/I/519RgXY+lRL._AC_UL320_.jpg,https://www.amazon.in/GM-Modular-3060-Book-Multicolour/dp/B008XT42JU/ref=sr_1_4?qid=1679214112&s=kitchen&sr=1-4,4.5,"51,420",₹459,₹590
"Scotch-Brite No-Dust Broom, Long handle, Easy floor cleaning (Multi-use)",home & kitchen,Home Improvement,https://m.media-amazon.com/images/I/611JToXX49L._AC_UL320_.jpg,https://www.amazon.in/Scotch-Brite-Broom-Fibre-Green/dp/B07LC7LF9Y/ref=sr_1_5?qid=1679214112&s=kitchen&sr=1-5,4.1,"30,770",₹298,₹300
"Scotch-Brite Sponge Wipe, Pack of 5 (Color and Print May Vary)",home & kitchen,Home Improvement,https://m.media-amazon.com/images/I/815fA+XGZ3S._AC_UL320_.jpg,https://www.amazon.in/Scotch-Brite-Sponge-Wipe-5-Pcs/dp/B016VXORNA/ref=sr_1_6?qid=1679214112&s=kitchen&sr=1-6,4.5,"20,614",₹318,₹355
RADIANT Door Bottom Sealing Strip Guard for Home (Size-36 inch) (Pack of 1) (Brown),home & kitchen,Home Improvement,https://m.media-amazon.com/images/I/61qbtDsPOoL._AC_UL320_.jpg,https://www.amazon.in/RadiantTM-Bottom-Sealing-Strip-Size-36/dp/B08TQQBG7C/ref=sr_1_7?qid=1679214112&s=kitchen&sr=1-7,3.8,"19,525",₹89,₹499
"rts Dual USB Universal Travel Adapter, International All in One Worldwide Travel Adapter and Wall Charger with USB Ports w...",home & kitchen,Home Improvement,https://m.media-amazon.com/images/I/611RCy1XjsL._AC_UL320_.jpg,https://www.amazon.in/rts-Universal-Adapter-International-Worldwide/dp/B082WYMTWF/ref=sr_1_8?qid=1679214112&s=kitchen&sr=1-8,4.2,"7,845",₹588,"₹4,999"
"XML Bottle Cleaning Brush Silicone Long Handle for Baby Bottle, Water Bottle, Containers, Vase and Glassw, Bottle Cleaner ...",home & kitchen,Home Improvement,https://m.media-amazon.com/images/I/41ZZvgZiBjL._AC_UL320_.jpg,https://www.amazon.in/XML-Cleaning-Containers-Accessories-BOTTLE-CLEANING-BRUSH/dp/B0BMFQSM7X/ref=sr_1_9?qid=1679214112&s=kitchen&sr=1-9,3.5,126,₹68,₹69
MI Xiaomi Wireless Home Security Camera 2i 2022 Edition | Full HD Picture | 360 View | 2MP | AI Powered Motion Detection |...,home & kitchen,Home Improvement,https://m.media-amazon.com/images/I/51hkb1CYemL._AC_UL320_.jpg,https://www.amazon.in/MI-Wireless-Security-Detection-Enhanced/dp/B0B51WPT24/ref=sr_1_10_mod_primary_new?qid=1679214112&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-10,4.3,"46,377","₹2,940","₹4,499"
