name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, maki...",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/51DGcy8eBCL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Amaze-Plus-1-5-Ltr/dp/B07WMS7TWB/ref=sr_1_4?qid=1679134465&s=kitchen&sr=1-4,3.9,"128,941",₹599,"₹1,245"
Glun Multipurpose Portable Electronic Digital Weighing Scale Weight Machine (10 Kg - with Back Light),appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/61ocesEh0cL._AC_UL320_.jpg,https://www.amazon.in/Multipurpose-Portable-Electronic-Digital-Weighing/dp/B09185QH3C/ref=sr_1_5?qid=1679134465&s=kitchen&sr=1-5,3.8,365,₹199,₹899
beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale | Weight Machine With Back light LCD Display...,appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/61Is7sICRJL._AC_UL320_.jpg,https://www.amazon.in/beatXP-Multipurpose-Portable-Electronic-Weighing/dp/B0B61DSF17/ref=sr_1_6?qid=1679134465&s=kitchen&sr=1-6,3.7,"3,290",₹299,"₹1,999"
"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/61qgKaW71mL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Majesty-1000-Watt-Iron-White/dp/B01C8P29N0/ref=sr_1_7?qid=1679134465&s=kitchen&sr=1-7,4.2,"24,380",₹625,"₹1,400"
Bajaj Frore 1200 mm Ceiling Fan (Brown),appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/41XJ2wk4M1L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Frore-1200-Brown-Ceiling/dp/B07SPVMSC6/ref=sr_1_8?qid=1679134465&s=kitchen&sr=1-8,4.1,"9,971","₹1,349","₹2,660"
Kuber Industries Nylon Mesh Laundry Basket|Sturdy Material & Durable Handles|Netted Lightweight Laundry Bag (Assorted),appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/31hmQqq7KsL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Laundry-Organiser-LMESH02/dp/B077K1HFZ3/ref=sr_1_9?qid=1679134465&s=kitchen&sr=1-9,3.7,"4,210",₹92,₹99
"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/71zlLSHbJ-L._AC_UL320_.jpg,https://www.amazon.in/Prestige-Electric-Kettle-PKOSS-1500watts/dp/B01MQZ7J8K/ref=sr_1_10?qid=1679134465&s=kitchen&sr=1-10,3.9,"64,888",₹699,"₹1,445"
"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jar, Silver)",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/7152-mn8mKL._AC_UL320_.jpg,https://www.amazon.in/NutriPro-Bullet-Juicer-Grinder-Blades/dp/B09J2SCVQT/ref=sr_1_11?qid=1679134465&s=kitchen&sr=1-11,4.1,"6,023","₹1,990","₹6,000"
Philips GC1905 1440-Watt Steam Iron with Spray (Blue),appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/71SxUzhnLvL._AC_UL320_.jpg,https://www.amazon.in/Philips-GC1905-1440-Watt-Steam-Spray/dp/B008QTK47Q/ref=sr_1_12?qid=1679134465&s=kitchen&sr=1-12,4.3,"38,928","₹1,699","₹2,295"
"Lifelong LLMG23 Power Pro 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel ...",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/61zhqJg1bTL._AC_UL320_.jpg,https://www.amazon.in/Lifelong-LLMG23-500-Watt-Liquidizing-Stainless/dp/B09X5C9VLK/ref=sr_1_16?qid=1679134465&s=kitchen&sr=1-16,3.8,"45,688","₹1,329","₹3,500"
"Bajaj PX 97 Torque New 36L Personal Air Cooler for home with DuraMarine Pump (2-Yr Warranty), Turbo Fan Technology, Powerf...",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/71mdr95IHcL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Torque-New-Honeycomb-Technology/dp/B09R3QNGW5/ref=sr_1_17?qid=1679134465&s=kitchen&sr=1-17,3.7,"19,602","₹5,799","₹9,050"
"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/51Ck4wmBbSL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/dp/B00HVXS7WC/ref=sr_1_18?qid=1679134465&s=kitchen&sr=1-18,4.2,"42,284","₹2,099","₹3,210"
USHA Armor AR1100WB 1100 W Dry Iron with Black Weilburger Soleplate (Purple),appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/71q7meZ82qL._AC_UL320_.jpg,https://www.amazon.in/Armour-AR1100WB-1100-Watt-Soleplate-Purple/dp/B0883KDSXC/ref=sr_1_19?qid=1679134465&s=kitchen&sr=1-19,3.9,"17,030",₹549,₹990
Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black),appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/61x0Qnm08HS._AC_UL320_.jpg,https://www.amazon.in/Philips-Collection-HD4928-01-2100-Watt/dp/B00EDJJ7FS/ref=sr_1_20?qid=1679134465&s=kitchen&sr=1-20,4.2,"40,782","₹3,099","₹5,995"
"PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr Black & Grey",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/71LX24shyGL._AC_UL320_.jpg,https://www.amazon.in/PrettyKrafts-Laundry-Basket-Clothes-Handles/dp/B0814P4L98/ref=sr_1_21?qid=1679134465&s=kitchen&sr=1-21,3.9,"5,754",₹289,"₹1,099"
Butterfly EKN 1.5-Litre Electric Kettle (Silver with Black),appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/71cFxsy+BCL._AC_UL320_.jpg,https://www.amazon.in/Butterfly-EKN-1-5-Litre-Kettle-Silver/dp/B078V8R9BS/ref=sr_1_22?qid=1679134465&s=kitchen&sr=1-22,4.2,"36,295",₹649,"₹1,299"
Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black),appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/61DAkNxj9uL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Cruise-1800-Watt-Induction/dp/B01GFTEV5Y/ref=sr_1_23?qid=1679134465&s=kitchen&sr=1-23,3.8,"55,819","₹1,689","₹3,193"
"Pigeon Healthifry Digital Air Fryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/61mfMId4dkL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Healthifry-Circulation-Technology-Non-Stick/dp/B0B8XNPQPN/ref=sr_1_24?qid=1679134465&s=kitchen&sr=1-24,3.9,692,"₹3,529","₹7,995"
"Bajaj Majesty DX-11 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White and Blue",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/810Yr09Ji9L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Majesty-1000-Watt-Iron-White/dp/B01C8P29T4/ref=sr_1_25?qid=1679134465&s=kitchen&sr=1-25,4.2,"25,165",₹599,₹785
"BAJAJ PYGMY MINI 110 MM 10 W HIGH SPEED OPERATION, USB CHARGING, MULTI-CLIP FUNCTION PERSONAL FAN",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/816lZp-8R2L._AC_UL320_.jpg,https://www.amazon.in/OPERATION-CHARGING-MULTI-CLIP-FUNCTION-PERSONAL/dp/B08VJFYH6N/ref=sr_1_26?qid=1679134465&s=kitchen&sr=1-26,4.1,"4,648",₹986,"₹1,620"
"Pigeon Kessel Multipurpose Kettle (12173) 1.2 litres with Stainless Steel Body, used for boiling Water and milk, Tea, Coff...",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/51Y21By5TzL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Kessel-1-2-Litre-Multi-purpose-Kettle/dp/B01I1LDZGA/ref=sr_1_27?qid=1679134465&s=kitchen&sr=1-27,3.9,"15,338",₹899,"₹1,458"
Prestige PIC 20 1600 Watt Induction Cooktop with Push button (Black),appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/81od9GbumhL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PIC-20-Induction-Cooktop/dp/B00YMJ0OI8/ref=sr_1_28?qid=1679134465&s=kitchen&sr=1-28,4.1,"32,240","₹2,095","₹3,645"
atomberg Renesa 1200mm BLDC Motor 5 Star Rated Ceiling Fans for Home with Remote Control | Upto 65% Energy Saving High Spe...,appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/61mhVkkWM-L._AC_UL320_.jpg,https://www.amazon.in/Atomberg-Renesa-Motor-Remote-Ceiling/dp/B08Y5QJXSR/ref=sr_1_29?qid=1679134465&s=kitchen&sr=1-29,4.3,"29,831","₹3,680","₹5,190"
"Pigeon By Stovekraft 14429 Acer Plus 1800 Watt Induction Cooktop with Feather Touch Control, Induction Stove comes with 8 ...",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/51A-E96wy-L._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Acer-Plus-Induction/dp/B0832W3B7Q/ref=sr_1_30_mod_primary_new?qid=1679134465&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-30,3.8,"10,587","₹1,749","₹3,595"
"AGARO Regal 800 Watts Handheld Vacuum Cleaner, Lightweight & Durable Body, Small/Mini Size ( Black)",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71WKo+bybtL._AC_UL320_.jpg,https://www.amazon.in/AGARO-800-Watt-Handheld-Cleaner-Durable/dp/B07SRM58TP/ref=sr_1_28?qid=1679134467&s=kitchen&sr=1-28,4.0,"15,266","₹1,599","₹2,099"
PRO365 Indo Portable Mocktails/Coffee Foamer/Cappuccino/Lemonade/Milk Frother (6 Months Warranty),appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61PPPT-xfjL._AC_UL320_.jpg,https://www.amazon.in/PRO365-Electric-Coffee-Stirrer-Frother/dp/B07GXPDLYQ/ref=sr_1_29?qid=1679134467&s=kitchen&sr=1-29,3.2,"9,271",₹199,₹499
"Lloyd 1.5 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White, Gls18I3...",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31UISB90sYL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I3FWAMC/dp/B0BRKXTSBT/ref=sr_1_30?qid=1679134467&s=kitchen&sr=1-30,4.2,"2,255","₹32,999","₹58,990"
"Farberware Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer,6 Blades Rechargeable Bottle with (Plasti...",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Sb8eK9bGL._AC_UL320_.jpg,https://www.amazon.in/Farberware-Portable-Electric-Blender-Rechargeable/dp/B0BS17BXZM/ref=sr_1_31_mod_primary_new?qid=1679134467&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-31,2.6,164,₹489,"₹1,199"
"SOFLIN Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking, Boiling and Frying (400 Watts, Blue)",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31zTQCdL35S._AC_UL320_.jpg,https://www.amazon.in/SOFLIN-Electric-Automatic-Poacher-Steaming/dp/B07GMFY9QM/ref=sr_1_32?qid=1679134467&s=kitchen&sr=1-32,4.3,"3,840",₹379,₹999
