name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"DURACELL 36 Watts Fast Wall Charger Adapter, Type C Power Delivery & QC 3.0 USB Charger Fast Charging Compatible with iPho...",toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/51tS-cfYoXL._AC_UL320_.jpg,https://www.amazon.in/DURACELL-Delivery-Charging-Compatible-Smartphones/dp/B0BD7QN9Z8/ref=sr_1_265?qid=1679219425&s=toys&sr=1-265,4.4,"4,086","₹1,599","₹2,799"
DearJoy Big Fibre Filled Baby Pillow and Stuffed Animal Elephant Soft Toy of Plush Hugging Pillow Material for Kids Boy/Gi...,toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/71XB26V+weL._AC_UL320_.jpg,https://www.amazon.in/DearJoy-Stuffed-Elephant-Hugging-Birthday/dp/B08K4Q3DRL/ref=sr_1_266?qid=1679219425&s=toys&sr=1-266,4.3,"3,983",₹585,"₹2,000"
"Centy Toys Plastic Pull Back Auto Rickshaw, Number Of Pieces: 1, Multicolour",toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/51uB7i1cw+L._AC_UL320_.jpg,https://www.amazon.in/Centy-Toys-Rickshaw-Multi-Color/dp/B011NXA79Q/ref=sr_1_267?qid=1679219425&s=toys&sr=1-267,4.3,"8,977",₹149,₹186
"Skillmatics Board Game - Rapid Rumble, Educational and Clever Category Game, Games for Kids, Teens & Adults",toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/71wSRIuoKPL._AC_UL320_.jpg,https://www.amazon.in/Skillmatics-Board-Game-Educational-Friendly/dp/B09NYD15ZH/ref=sr_1_268?qid=1679219425&s=toys&sr=1-268,4.4,909,₹664,₹699
Harry Potter 1–3 Box Set: A Magical Adventure Begins,toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/8179uEK+gcL._AC_UL320_.jpg,https://www.amazon.in/Harry-Potter-1-3-Box-Set/dp/1526620294/ref=sr_1_269?qid=1679219425&s=toys&sr=1-269,4.6,"3,163",₹649,"₹1,050"
"zest 4 toyz Globe for Kids, Stem Steam Educational World Globe with Magnifying Glass for Kids/Political Globe/Office Glob...",toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/91czD7X8hvL._AC_UL320_.jpg,https://www.amazon.in/Zest-Toyz-Educational-Magnifying-Political/dp/B08M3RHZFS/ref=sr_1_270?qid=1679219425&s=toys&sr=1-270,4.3,"3,764",₹539,"₹1,499"
"Aashirvaad Nature's Super Foods Organic Arhar/Tur Dal Pouch, 500 g",toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/81w70rw+zeL._AC_UL320_.jpg,https://www.amazon.in/Aashirvaad-Organic-Arhar-Split-500g/dp/B08JCDXYQY/ref=sr_1_271_f3_0o_fs?qid=1679219425&s=toys&sr=1-271,4.3,"1,477",₹75,₹130
"Drawing Book A4 Size Approx | Plain Sketch Pad for Kids, Students & Artists | 34 White Blank Unruled Pages | 29.5 x 21 cm...",toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/71pPoltmRuL._AC_UL320_.jpg,https://www.amazon.in/Drawing-Students-Experience-Colouring-Painting/dp/B083R4YFD6/ref=sr_1_272?qid=1679219425&s=toys&sr=1-272,4.5,"1,700",,₹150
"pTron Volta 12W Fast Charging USB Wall Charger with 1m Micro USB Cable, Made in India, BIS Certified Single Port USB Wall ...",toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/51gz0Mjm5qL._AC_UL320_.jpg,https://www.amazon.in/pTron-Volta-Charging-Charger-Certified/dp/B0BRFQY2DH/ref=sr_1_273?qid=1679219425&s=toys&sr=1-273,4.2,219,₹199,"₹1,600"
Cubelelo QiYi QiDi S 2x2 Stickerless Speedcube Puzzle for Kids & Adults Magic Speedy Stress Buster Brainstorming Puzzle Cu...,toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/610yCtxYZSL._AC_UL320_.jpg,https://www.amazon.in/Cubelelo-QiYi-QiDi-2x2-Stickerless/dp/B071G36ZFV/ref=sr_1_274?qid=1679219425&s=toys&sr=1-274,4.4,"2,147",₹199,₹899
"VGRASSP Handheld Video Game Console, Retro Mini Game with 400 Classic Sup Game TV Compatible for Kids, Rechargeable 8 Bit ...",toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/51qC3djhLQL._AC_UL320_.jpg,https://www.amazon.in/VGRASSP-Handheld-Console-Compatible-Rechargeable/dp/B09YH82G14/ref=sr_1_275?qid=1679219425&s=toys&sr=1-275,3.0,116,₹649,"₹1,299"
"Funskool Fundough - Mini Fun Pack ,Shaping and Sculpting , 3years + ,6 Pieces Multi-Colour",toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/810Fq4SBigL._AC_UL320_.jpg,https://www.amazon.in/Funskool-Fundough-Mini-Pack-Multi-Colour/dp/B00ET0N3QK/ref=sr_1_276?qid=1679219425&s=toys&sr=1-276,4.1,"2,110",,₹149
Cr18 Collection 2 In 1 Baby Horse Rider And Rocker For Kids Age 1-5 Years (Multicolour),toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/61yYEoqdFHS._AC_UL320_.jpg,https://www.amazon.in/CR18-COLLECTION-Horse-Rider-Rocker/dp/B0975W9N7L/ref=sr_1_277?qid=1679219425&s=toys&sr=1-277,4.1,504,₹589,₹999
Smartivity Telescope STEM DIY Toys for Kids 8 to 14 Years | Measure Hight & Distance | Best Birthday Gifts for Boys & Girl...,toys & baby products,Toys & Games,https://m.media-amazon.com/images/I/91w2ndhA8iL._AC_UL320_.jpg,https://www.amazon.in/Smartivity-Educational-Construction-Instructions-Engineering/dp/B08P5RY73H/ref=sr_1_278?qid=1679219425&s=toys&sr=1-278,4.2,"1,037",₹591,₹749
