name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
URBAN BOX Minimalist Pop up Card Holder Wallet for Men RFID Blocking | Slim Business Credit Card Wallet with Money Pocket...,bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41zNVteaz3L._AC_UL320_.jpg,https://www.amazon.in/URBAN-BOX-Minimalist-Blocking-Business/dp/B0BRSV3LV3/ref=sr_1_337?qid=1679219260&s=luggage&sr=1-337,,,₹240,₹499
GETOREE Florence Black RFID Blocking Leather Wallet for Men | Wallets Men Leather | Mens Wallet | Wallets for Men,bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81O2TcL6FqL._AC_UL320_.jpg,https://www.amazon.in/GETOREE-Black-Florence-Leather-Wallet/dp/B07GCLDN9Q/ref=sr_1_338?qid=1679219260&s=luggage&sr=1-338,4.0,"1,441",₹479,"₹1,999"
Aakrutii Embroidery Cotton Zipper Pouch for Women | Mini Packet | Handcrafted | Environmental Friendly | (Natural Beige),bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81-n2wxtyIL._AC_UL320_.jpg,https://www.amazon.in/Aakrutii-Friendly-Cotton-Zipper-Natural/dp/B07YX4YS3W/ref=sr_1_339?qid=1679219260&s=luggage&sr=1-339,4.2,378,₹298,₹300
Baggit Women's Wallet,bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Z23YwsPoL._AC_UL320_.jpg,https://www.amazon.in/Baggit-Autumn-Leather-Harmonium-Prisley/dp/B08WWLK9N7/ref=sr_1_340?qid=1679219260&s=luggage&sr=1-340,3.9,59,₹509,₹890
Heart Home Hand Purse|Embroidery Stylish Silk Small Wallet Purse with Back Side Zip (Pink),bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71JvwwYoQlL._AC_UL320_.jpg,https://www.amazon.in/Heart-Home-Embroidery-Stylish-Wallet/dp/B0BF9KD3C1/ref=sr_1_341?qid=1679219260&s=luggage&sr=1-341,4.5,3,₹85,₹199
Levi's Leather Brown Men's Wallet (37541-0019),bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/516YPcmuMHL._AC_UL320_.jpg,https://www.amazon.in/Levis-Leather-Brown-Wallet-37541-0019/dp/B07417X8DZ/ref=sr_1_342?qid=1679219260&s=luggage&sr=1-342,4.3,118,₹811,"₹1,399"
iParn RFID Card Sleeve Cover for ATM Debit Credit Card Sleeves- 6 pcs - Black,bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61IzXTg6ydL._AC_UL320_.jpg,https://www.amazon.in/iparn-Sleeve-Cover-Credit-Sleeves/dp/B09MK441L2/ref=sr_1_343?qid=1679219260&s=luggage&sr=1-343,3.9,7,₹199,₹599
Lorna Women's PU Leather Lady Long Wallet Purse Coin Button Clutch Bag,bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71jeVfAgTkL._AC_UL320_.jpg,https://www.amazon.in/Lorna-Womens-Leather-Wallet-Button/dp/B07XG7P77H/ref=sr_1_344?qid=1679219260&s=luggage&sr=1-344,3.9,604,₹549,"₹1,999"
"Goatter Men's Hunter Leather RFID Blocking Wallet, Big Size (Brown)",bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71CTeXtNzQL._AC_UL320_.jpg,https://www.amazon.in/Goatter-Hunter-Leather-Blocking-Wallet/dp/B07THDR6WW/ref=sr_1_345?qid=1679219260&s=luggage&sr=1-345,4.0,419,"₹1,045","₹2,999"
Nelle Harper Women's Handbag,bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51l7-Lzy2iL._AC_UL320_.jpg,https://www.amazon.in/Nelle-Harper-Womens-Western-Dust/dp/B09N1MKQPT/ref=sr_1_346?qid=1679219260&s=luggage&sr=1-346,3.9,"2,876",₹699,"₹2,699"
